Year;Mean
1901,00;25,42
1902,00;25,39
1903,00;25,40
1904,00;25,38
1905,00;25,44
1906,00;25,44
1907,00;25,36
1908,00;25,42
1909,00;25,42
1910,00;25,40
1911,00;25,57
1912,00;25,62
1913,00;25,58
1914,00;25,67
1915,00;25,64
1916,00;25,49
1917,00;25,46
1918,00;25,37
1919,00;25,58
1920,00;25,59
1921,00;25,47
1922,00;25,48
1923,00;25,47
1924,00;25,54
1925,00;25,48
1926,00;25,64
1927,00;25,57
1928,00;25,58
1929,00;25,44
1930,00;25,59
1931,00;25,69
1932,00;25,49
1933,00;25,52
1934,00;25,44
1935,00;25,55
1936,00;25,58
1937,00;25,57
1938,00;25,57
1939,00;25,53
1940,00;25,58
1941,00;25,84
1942,00;25,58
1943,00;25,40
1944,00;25,45
1945,00;25,47
1946,00;25,58
1947,00;25,59
1948,00;25,64
1949,00;25,54
1950,00;25,52
1951,00;25,54
1952,00;25,52
1953,00;25,57
1954,00;25,44
1955,00;25,41
1956,00;25,30
1957,00;25,55
1958,00;25,71
1959,00;25,51
1960,00;25,54
1961,00;25,41
1962,00;25,39
1963,00;25,45
1964,00;25,46
1965,00;25,36
1966,00;25,55
1967,00;25,37
1968,00;25,44
1969,00;25,66
1970,00;25,61
1971,00;25,38
1972,00;25,62
1973,00;25,78
1974,00;25,44
1975,00;25,46
1976,00;25,28
1977,00;25,42
1978,00;25,52
1979,00;25,62
1980,00;25,62
1981,00;25,70
1982,00;25,63
1983,00;25,83
1984,00;25,35
1985,00;25,58
1986,00;25,68
1987,00;25,90
1988,00;25,80
1989,00;25,65
1990,00;25,88
1991,00;25,81
1992,00;25,81
1993,00;25,77
1994,00;25,80
1995,00;25,84
1996,00;25,84
1997,00;25,95
1998,00;26,20
1999,00;25,79
2000,00;25,87
2001,00;25,93
2002,00;26,06
2003,00;25,92
2004,00;25,94
2005,00;25,95
2006,00;25,84
2007,00;25,86
2008,00;25,73
2009,00;26,00
2010,00;26,10
2011,00;25,90
2012,00;26,01
2013,00;26,07
2014,00;26,04
2015,00;26,13
2016,00;26,24
2017,00;26,05
2018,00;26,06
2019,00;26,21
2020,00;26,20
2021,00;26,01
2022,00;25,96
